"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q3_consent","Q6_1_extravert","Q6_2_critical","Q6_3_dependable","Q6_4_anxious","Q6_5_open","Q6_6_reserved","Q6_7_sympathetic","Q6_8_disorganized","Q6_9_calm","Q6_10_conventional","Q7_1_group_inferiority","Q7_2_use_force","Q7_3_more_chances","Q7_4_step_on","Q7_5_stay_place","Q7_6_top_bottom","Q7_7_inferior","Q7_8_kept_place","Q7_9_equal","Q7_10_equality_ideal","Q7_11_equal_chance","Q7_12_equalize_conditions","Q7_13_social_equality","Q7_14_fewer_problems","Q7_15_incomes_equal","Q7_16_no_dominate","Q8_1_neglect_needs","Q8_2_others_needs","Q8_3_sensitive_feelings","Q8_4_not_helpful","Q8_5_be_helpful","Q8_6_no_aid","Q8_7_be_responsive","Q8_8_help_others","Q8_9_no_involvement","Q8_10_no_help_others","Q8_11_turn_to_others","Q8_12_emotion_avoid","Q8_13_trouble_themselves","Q8_14_ignored_hurt","Q9_1_depend_on_self","Q9_2_rely_on_self","Q9_3_do_own_thing","Q9_4_personal_identity_important","Q9_5_do_job_better","Q9_6_winning_everything","Q9_7_competition_nature","Q9_8_others_better_tense","Q9_9_coworker_prize_proud","Q9_10_coworker_wellbeing","Q9_11_spend_time_others","Q9_12_good_cooperate_others","Q9_13_family_together","Q9_14_care_family_duty","Q9_15_family_stick_together","Q9_16_respect_group_decision","Q11_age","Q12_gender","Q13_education","Q14_job","Q15_total_hours","Q16_employer_selfemployed","Q17_occupation","Q18_employ_situation","Q18_employ_situation_text","Q19_income_US","Q20_income_MA","Q21_income_PH","Q22_income_feeling","Q23_religion","Q23_religion_text","Q24_religion_freq","Q25_adult_hh_num","Q26_child_hh_num","Q27_marital_status","Q28_friends_num","Q29_born_in_country","Q30_move_last5","Q31_country_origin","Q32_1_smartphone","Q32_2_computer","Q32_3_tablet","Q33_internet_where","Q34_internet_hours_day","Q35_social_networks","Q36_social_media_people_num","Q37_social_media_hours_day","Q38_online_research","Q39_send_survey_invites","Q40_mobile_number","Q6_2_critical_REV","Q6_4_anxious_REV","Q6_6_reserved_REV","Q6_8_disorganized_REV","Q6_10_conventional_REV","tipi_extraversion","tipi_agreeableness","tipi_conscientiousness","tipi_emot_stability","tipi_open_experiences","Q7_9_equal_REV","Q7_10_equality_ideal_REV","Q7_11_equal_chance_REV","Q7_12_equalize_conditions_REV","Q7_13_social_equality_REV","Q7_14_fewer_problems_REV","Q7_15_incomes_equal_REV","Q7_16_no_dominate_REV","soc_dom_orient","Q8_3_sensitive_feelings_REV","Q8_4_not_helpful_REV","Q8_6_no_aid_REV","Q8_9_no_involvement_REV","Q8_10_no_help_others_REV","Q8_12_emotion_avoid_REV","Q8_13_trouble_themselves_REV","comm_orient_scale","horiz_indiv","vert_indiv","horiz_collect","vert_collect"
"2017-06-08 06:17:45","2017-06-08 06:17:46","Survey Test","","100","1","True","2017-06-08 06:17:46","R_1GJsBWhYU1MGfUV","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",5,4,4,7,3,4,6,1,5,4,2,2,4,2,6,1,7,1,1,2,2,6,6,2,1,4,4,6,2,4,6,3,7,2,7,7,1,2,3,4,6,5,2,4,1,9,1,7,1,7,9,5,3,5,8,9,84,"Female","Some college",0,,"","","Disabled","","$90,000-$119,999 per year","8,000 - 9,999 MAD","700 pesos or less","Living comfortably on present income","Don’t know","","",17,96,"Domestic partnership/Living with partner ",12629,0,0,"Metus lorem. Tempora! Atque suspendisse consequat vestibulum malesuada suspendisse, nibh accumsan, fringilla, ab.","6 days","1 day","7 days","On a computer or tablet at school",22,0,,,1,1,"6",4,1,4,7,4,4.5,5,5.5,3,3.5,7,6,6,2,2,6,7,4,4.0625,6,4,5,1,1,6,5,58,17,18,22,25
"2017-06-08 06:17:45","2017-06-08 06:17:45","Survey Test","","100","0","True","2017-06-08 06:17:45","R_3kDZnCiUFdz5dQx","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",3,6,3,7,5,7,1,5,1,3,7,5,5,2,7,1,2,6,6,5,6,7,1,2,6,1,2,5,2,3,4,4,4,7,5,5,2,1,6,5,8,2,4,2,9,9,1,3,6,7,8,2,8,5,1,7,123,"Prefer not to answer","None",1,17,"Self-employed","Professional","","","$36,000-$47,999 per year","2,000 - 2,999 MAD","701 – 1,500 pesos","Living comfortably on present income","Roman Catholic","","Monthly (at least once a month)",5,58,"Separated",3429,1,,"","Never","Less than once a week","Never","On a computer or tablet at work",21,1,94429,11,0,0,"",2,1,1,3,5,2,1.5,3,1,5,2,3,2,1,7,6,2,7,4.0625,6,5,4,3,3,7,2,59,16,22,23,21
"2017-06-08 06:17:46","2017-06-08 06:17:46","Survey Test","","100","0","True","2017-06-08 06:17:46","R_eIJmiPCINC2usip","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",2,2,1,1,7,5,3,5,7,2,1,6,1,1,1,7,6,3,4,6,5,6,2,7,5,6,1,3,3,4,4,1,5,7,1,5,5,3,3,2,3,6,3,6,4,9,8,8,5,7,2,1,4,5,5,5,93,"Female","Some college",1,8,"Work for an employer","Secretarial or clerical","","","$36,000-$47,999 per year","1,500 - 1,999 MAD","(Refused to give household income)","Finding it very difficult on present income","Muslim/Islam","","Monthly (at least once a month)",81,57,"Married",52933,0,1,"Augue, dolorem per, neque, montes sollicitudin. Potenti velit sodales dolor ipsum mattis augue.","Less than once a week","Less than once a week","Never","On a computer or tablet at school",9,0,,,1,1,"5",6,7,3,3,6,2.5,4.5,2,7,6.5,4,2,3,2,6,1,3,2,3.0625,5,4,7,7,3,5,5,63,18,29,15,19
"2017-06-08 06:17:45","2017-06-08 06:17:45","Survey Test","","100","0","True","2017-06-08 06:17:45","R_eL6avFEn8IThL3T","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",6,7,7,5,6,6,6,2,1,2,7,2,1,4,2,5,2,2,1,3,4,1,1,4,4,1,1,3,1,2,5,1,4,1,1,1,2,1,3,1,7,2,7,4,6,6,3,4,6,8,8,8,9,6,1,4,108,"Female","High school",0,,"","","Unemployed","","$36,000-$47,999 per year","8,000 - 9,999 MAD","1,501 – 3,000 pesos","Getting by on present income","Sikhism","","Annually (at least once a year)",22,32,"Separated",91068,0,0,"Platea? Non? Maecenas? Dapibus molestie scelerisque porttitor rutrum magnis est eu.","3 days","Less than once a week","3 days","On a computer or tablet at school",14,1,67339,17,1,0,"",1,3,2,6,6,4,3.5,6.5,2,6,7,5,4,7,7,4,4,7,4.375,7,6,7,7,7,7,5,63,20,19,30,20
"2017-06-08 06:17:46","2017-06-08 06:17:46","Survey Test","","100","0","True","2017-06-08 06:17:46","R_4Za1SqOx7Y7ZWux","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",2,2,4,4,2,5,2,5,5,7,6,2,5,6,1,4,5,5,3,4,2,6,3,3,2,2,1,7,3,4,1,6,5,3,6,4,6,6,2,5,8,8,8,5,5,9,2,2,2,8,4,9,6,2,3,1,135,"Female","Post-graduate degree",1,2,"Self-employed","Farmer or rancher","","","","20,000 - 24,999 MAD","25,001 – 40,000 pesos","Finding it difficult on present income","Buddhism","","Monthly (at least once a month)",72,80,"Widowed",31525,0,0,"Elementum. Integer. Imperdiet. Duis proin felis elementum? Morbi mauris sem enim. Ligula.","Less than once a week","Less than once a week","6 days","On a computer or tablet at a public place (e.g., library)",7,1,21094,13,0,1,"12",6,4,3,3,1,2.5,4,3.5,4.5,1.5,5,4,6,2,5,5,6,6,4.5625,5,4,2,2,4,2,6,53,29,18,23,12
"2017-06-08 06:17:47","2017-06-08 06:17:47","Survey Test","","100","0","True","2017-06-08 06:17:47","R_9QTy482eBHTZTX7","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",6,2,4,4,5,5,4,1,2,6,2,7,7,7,5,7,5,7,7,3,5,3,3,2,1,2,5,1,3,6,6,6,7,5,5,1,3,7,3,3,1,2,6,4,3,1,8,5,2,2,6,5,3,6,5,1,123,"Female","None",1,7,"Work for an employer","Professional","","","$48,000-$59,999 per year","15,000 - 19,999 MAD","700 pesos or less","Finding it very difficult on present income","Buddhism","","Weekly (at least once a week)",54,98,"Divorced",8157,1,,"","4 days","3 days","6 days","On a computer or tablet at home",21,1,67361,10,0,0,"",6,4,3,7,2,4.5,5,5.5,3,3.5,1,5,3,5,5,6,7,6,5.3125,5,2,2,3,7,1,5,55,13,17,15,15
"2017-06-08 06:17:46","2017-06-08 06:17:46","Survey Test","","100","0","True","2017-06-08 06:17:46","R_6gLtCTGxGUs4nU9","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",3,1,3,3,1,7,5,2,5,3,4,4,4,5,2,2,7,2,5,5,6,4,7,7,6,6,1,5,6,4,5,6,3,7,1,1,6,1,7,3,2,4,7,1,4,4,3,3,7,1,3,7,3,2,1,9,79,"Male","High school",0,,"","","Other, please list","Magna purus, non venenatis odio, nibh non ligula? Et. Integer.","$24,000-$35,999 per year","500 - 999 MAD","More than 40,000 pesos","Finding it very difficult on present income","Chinese Traditional Religion/Confucianism","","Annually (at least once a year)",27,22,"Married",16992,1,,"","Never","4 days","6 days","On a computer or tablet at work",0,0,,,1,0,"",7,5,1,6,5,2,6,4.5,5,3,3,3,2,4,1,1,2,2,3,2,4,2,7,7,7,1,60,14,14,18,15
"2017-06-08 06:17:46","2017-06-08 06:17:47","Survey Test","","100","1","True","2017-06-08 06:17:47","R_8vN1ZMtLtqBIU17","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",3,4,7,3,1,2,5,6,7,3,3,7,6,1,3,4,7,6,7,6,3,7,3,2,4,3,6,4,7,1,6,1,7,5,1,7,4,2,4,2,4,7,7,6,1,3,1,7,7,5,4,8,8,8,6,1,27,"Female","Some college",0,,"","","Other, please list","Fringilla interdum viverra egestas quis enim! Proin turpis eget phasellus magnis.","","1,500 - 1,999 MAD","700 pesos or less","Getting by on present income","Chinese Traditional Religion/Confucianism","","Weekly (at least once a week)",19,35,"Widowed",62125,1,,"","3 days","1 day","2 days","Other",12,0,,,0,1,"8",4,5,6,2,5,4.5,4.5,4.5,6,3,1,2,5,1,5,6,4,5,4.125,1,7,7,7,1,6,4,67,24,12,24,23
"2017-06-08 06:17:48","2017-06-08 06:17:48","Survey Test","","100","0","True","2017-06-08 06:17:48","R_blyvvVwBjzznHeJ","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",4,7,2,2,5,4,1,4,6,5,1,2,7,6,3,2,7,5,6,7,3,7,2,1,6,6,7,1,2,3,6,7,7,4,2,1,5,6,5,3,5,3,4,4,3,8,8,1,9,7,8,2,8,1,6,4,8,"Prefer not to answer","High school",1,13,"Work for an employer","Sales or retail","","","$120,000-$179,999 per year","10,000 - 14,999 MAD","7,501 – 10,000 pesos","Getting by on present income","Other Christian Religion","","Weekly (at least once a week)",36,29,"Separated",36666,0,0,"Convallis turpis magna rutrum. Elementum pede ab! Ultrices elit leo volutpat auctor.","6 days","Less than once a week","4 days","On a computer or tablet at a public place (e.g., library)",3,1,38397,16,0,0,"",1,6,4,4,3,4,1,3,6,4,2,1,5,1,6,7,2,2,3.6875,6,5,1,6,7,2,3,63,16,20,26,19
"2017-06-08 06:17:47","2017-06-08 06:17:47","Survey Test","","100","0","True","2017-06-08 06:17:47","R_egve6TW5Nky69SJ","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",6,3,5,1,1,3,3,1,6,3,7,1,7,7,6,6,3,6,3,6,7,6,7,7,1,3,1,2,1,6,7,5,5,7,4,6,5,3,4,1,2,9,1,8,9,4,2,7,8,3,1,2,5,4,3,5,62,"Male","High school",0,,"","","Disabled","","$120,000-$179,999 per year","1,000 - 1,499 MAD","(None/No household income)","Finding it very difficult on present income","Muslim/Islam","","Monthly (at least once a month)",60,1,"Domestic partnership/Living with partner ",66418,1,,"","2 days","Never","Never","On a mobile device",20,1,26811,11,0,1,"10",5,7,5,7,5,5.5,4,6,6.5,3,5,2,1,2,1,1,7,5,4.1875,7,2,3,4,2,5,4,55,20,22,14,17
"2017-06-08 06:17:47","2017-06-08 06:17:47","Survey Test","","100","0","True","2017-06-08 06:17:47","R_4SJZov5uA4gwOON","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",1,2,1,7,6,5,5,2,4,4,5,3,5,7,5,2,6,3,6,1,6,1,7,3,5,1,5,1,4,2,3,2,6,1,5,7,3,2,7,1,4,4,2,2,1,5,7,3,1,1,7,6,1,1,5,4,45,"Prefer not to answer","Some college",1,12,"Self-employed","Farmer or rancher","","","$6,000-$11,999 per year","3,000 - 4,999 MAD","700 pesos or less","Finding it difficult on present income","Chinese Traditional Religion/Confucianism","","Weekly (at least once a week)",99,76,"Separated",68173,1,,"","2 days","3 days","7 days","On a mobile device",14,1,8404,21,1,0,"",6,1,3,6,4,2,5.5,3.5,2.5,5,2,7,2,7,1,5,3,7,4.375,4,6,6,3,1,6,1,47,12,16,15,11
"2017-06-08 06:17:48","2017-06-08 06:17:48","Survey Test","","100","0","True","2017-06-08 06:17:48","R_1IlhkOpe8Bg4y3j","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",2,6,5,7,6,7,2,3,3,2,1,7,1,4,4,6,2,1,1,6,6,5,5,4,6,3,2,2,6,7,4,7,6,3,3,7,7,4,1,6,4,6,9,3,4,2,5,3,6,5,1,8,7,2,4,5,73,"Prefer not to answer","None",1,21,"Self-employed","Military","","","$120,000-$179,999 per year","5,000 - 7,999 MAD","6,001 – 7,500 pesos","Living comfortably on present income","Mormon/Latter-Day Saints","","Annually (at least once a year)",82,11,"Single/Never been married",57935,1,,"","3 days","Never","6 days","On a computer or tablet at school",5,1,71673,4,1,1,"8",2,1,1,5,6,1.5,2,5,2,6,7,2,2,3,3,4,2,5,3.375,2,1,1,5,1,4,7,51,22,14,20,18
"2017-06-08 06:17:49","2017-06-08 06:17:49","Survey Test","","100","0","True","2017-06-08 06:17:49","R_a00W6wo0Cq2yFzD","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",3,2,7,3,3,6,4,5,5,6,6,1,4,7,6,1,5,2,2,6,2,3,2,1,4,1,1,2,5,4,4,6,7,7,1,2,1,4,7,7,7,1,1,3,8,9,5,1,8,9,4,1,6,1,6,7,125,"Prefer not to answer","Elementary school",1,22,"Work for an employer","Service or labor","","","$90,000-$119,999 per year","8,000 - 9,999 MAD","More than 40,000 pesos","Finding it very difficult on present income","Hinduism","","Monthly (at least once a month)",4,17,"Separated",42374,1,,"","4 days","6 days","4 days","Other",2,1,40131,20,0,0,"",6,5,2,3,2,2.5,5,5,5,2.5,6,2,6,5,6,7,4,7,4.6875,3,4,2,7,6,4,1,56,12,23,22,20
"2017-06-08 06:17:48","2017-06-08 06:17:48","Survey Test","","100","0","True","2017-06-08 06:17:48","R_0NjOtgwgs6RHSex","","","","","45.654907226562","-94.084396362305","test","","I consent to participate in this experiment.",3,2,1,5,3,7,4,3,2,1,2,6,7,4,6,3,5,6,5,4,1,6,1,5,4,6,1,5,1,3,4,3,7,7,2,6,1,2,1,2,2,2,8,5,1,2,3,6,9,4,8,4,2,4,2,7,73,"Other","None",1,5,"Work for an employer","Military","","","Less than $6,000 per year","5,000 - 7,999 MAD","More than 40,000 pesos","Finding it very difficult on present income","Other Non-Christian Religion","","Annually (at least once a year)",55,74,"Domestic partnership/Living with partner ",56040,0,0,"Vitae aliquam erat iaculis nibh dapibus imperdiet mauris sapien imperdiet.","6 days","Never","Less than once a week","On a computer or tablet at home",16,0,,,0,1,"0",6,3,1,5,7,2,5,3,2.5,5,3,4,7,2,7,3,4,2,4.4375,7,5,5,6,2,6,7,65,17,12,25,15
